source,destination,language,status_code
/admissions/first-year-student/faqs-counselors/,/apply/first-year-student/faqs-school-counselors,en,301
/admissions/first-year-student/first-year-requirements/,/apply/first-year-student/first-year-admission-requirements,en,301
/admissions/first-year-student/first-year-application/,/apply/first-year-student/first-year-application,en,301
/admissions/first-year-student/,/apply/first-year-student,en,301
/admissions/graduate/,/apply/graduate-student,en,301
/admissions/high-school-special-student/,/apply/high-school-special-student,en,301
/admissions/international-students/international-agents/,/apply/international-students/international-agents,en,301
/admissions/international-students/international-student-application/,/apply/international-students/international-student-application,en,301
/admissions/international-students/,/apply/international-students,en,301
/admissions/other-student/,/apply/other-student,en,301
/admissions/visit/plan-your-trip/,/visit/plan-your-trip,en,301
/admissions/other-student/register-classes-non-degree-seeking-student/,/apply/other-student/register-classes-non-degree-seeking-special-student,en,301
/admissions/scholarships/,/tuition-aid/scholarships-uwec,en,301
/admissions/other-student/second-degree-advisors/,/apply/other-student/second-degree-advisors,en,301
/admissions/first-year-student/test-optional-application-process-faqs/,/apply/first-year-student/test-optional-application-process-faqs,en,301
/admissions/transfer-student/guides-articulations/,/apply/transfer-student/transfer-guides-and-articulations,en,301
/admissions/transfer-student/,/apply/transfer-student,en,301
/admissions/transfer-student/transfer-student-admission-requirements/,/apply/transfer-student/transfer-student-admission-requirements,en,301
/admissions/transfer-student/transfer-application/,/apply/transfer-student/transfer-student-application,en,301
/admissions/,/apply,en,301
/admissions/visit/,/visit,en,301
/academics/academic-support/arcc/advising/,/offices-services/advising-retention-career-center/advising,en,301
/academics/academic-support/arcc/faq-s-about-advising/,/offices-services/advising-retention-career-center/advising/advising-faqs,en,301
/academics/academic-support/arcc/,/offices-services/advising-retention-career-center,en,301
/academics/academic-support/arcc/staff/,/offices-services/advising-retention-career-center/advising-retention-career-center-staff,en,301
/academics/academic-support/arcc/advising/explore-majors/,/offices-services/advising-retention-career-center/advising/explore-majors,en,301
/academics/academic-support/arcc/gpa-calculator/,/offices-services/advising-retention-career-center/advising/gpa-calculator,en,301
/academics/academic-support/arcc/peer-advisors/,/offices-services/advising-retention-career-center/advising/peer-advisors,en,301
/academics/academic-support/arcc/advising/returning-students/,/offices-services/advising-retention-career-center/advising/resume-your-education-uw-eau-claire,en,301
